Date,SP500
02/1992,10000
03/1992,9805.512268478222
04/1992,10093.416192839213
05/1992,10142.892797892575
06/1992,9991.988103802296
07/1992,10400.196312430395
08/1992,10187.33575088456
09/1992,10307.052775744509
10/1992,10342.66586407881
11/1992,10694.832746423486
12/1992,10826.085223924109
01/1993,10916.607066828023
02/1993,11065.372458792217
03/1993,11298.850020239479
04/1993,11025.753422359063
05/1993,11320.704459605991
06/1993,11353.842669010111
07/1993,11308.183250103295
08/1993,11737.239167685631
09/1993,11647.241663538112
10/1993,11888.16483532617
11/1993,11774.844743294232
12/1993,11917.213202430416
01/1994,12322.35927272117
02/1994,11987.915040342625
03/1994,11465.27514151903
04/1994,11612.299728811995
05/1994,11802.865406435943
06/1994,11513.556254207819
07/1994,11891.625471118372
08/1994,12379.176620364056
09/1994,12076.465369522495
10/1994,12347.779215631168
11/1994,11898.08532459715
12/1994,12074.577749999477
01/1995,12387.71285531816
02/1995,12870.482035105528
03/1995,13250.250109586801
04/1995,13640.421064994936
05/1995,14185.607530343485
06/1995,14515.102004861668
07/1995,14996.465956781902
08/1995,15034.155426591524
09/1995,15668.626295378897
10/1995,15612.626916195984
11/1995,16298.000591454118
12/1995,16611.93269168252
01/1996,17177.337659477635
02/1996,17336.589826569714
03/1996,17503.476365954895
04/1996,17761.534928301917
05/1996,18219.597265887987
06/1996,18289.103611435617
07/1996,17481.07661428173
08/1996,17849.83357487872
09/1996,18854.508579230733
10/1996,19374.526784272355
11/1996,20838.983957331406
12/1996,20426.077673446016
01/1997,21702.192365208237
02/1997,21872.287857782554
03/1997,20973.59220287296
04/1997,22225.692179592315
05/1997,23578.863694994245
06/1997,24635.238500726733
07/1997,26595.405534080972
08/1997,25105.48647101141
09/1997,26480.42853157883
10/1997,25596.057811493924
11/1997,26780.95853319379
12/1997,27240.887516752624
01/1998,27542.193539727046
02/1998,29528.68237865228
03/1998,31040.791457892454
04/1998,31353.087621200903
05/1998,30814.193220929086
06/1998,32065.831779542816
07/1998,31724.382381378844
08/1998,27137.76057014499
09/1998,28876.21620374546
10/1998,31225.065070439665
11/1998,33117.55045711853
12/1998,35025.954768441516
